,recipe_name,recipe_link,category
102,Piri piri chicken,https://www.jamieoliver.com/recipes/chicken-recipes/piri-piri-chicken/,chicken
103,Southern fried chicken,https://www.jamieoliver.com/recipes/chicken-recipes/southern-fried-chicken/,chicken
104,Chicken fajitas with guacamole,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-fajitas-with-guacamole/,chicken
105,The best BBQ chicken,https://www.jamieoliver.com/recipes/chicken-recipes/the-best-bbq-chicken/,chicken
106,Chicken Kiev,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-kiev/,chicken
107,Hit ‘n’ run traybaked chicken,https://www.jamieoliver.com/recipes/chicken-recipes/hit-n-run-traybaked-chicken/,chicken
108,Ginger &amp; honey chicken wings,https://www.jamieoliver.com/recipes/chicken-recipes/ginger-honey-chicken-wings/,chicken
109,Pomegranate & chicken stew,https://www.jamieoliver.com/recipes/chicken-recipes/pomegranate-chicken-stew/,chicken
110,French-style chicken,https://www.jamieoliver.com/recipes/chicken-recipes/french-style-chicken/,chicken
111,Spicy pasties,https://www.jamieoliver.com/recipes/lamb-recipes/spicy-pasties/,chicken
112,Pukka yellow curry,https://www.jamieoliver.com/recipes/chicken-recipes/pukka-yellow-curry/,chicken
113,Chicken & chorizo paella,https://www.jamieoliver.com/recipes/rice-recipes/chicken-chorizo-paella/,chicken
114,Dexter Fletcher's party-time Mexican tacos,https://www.jamieoliver.com/recipes/chicken-recipes/party-time-mexican-tacos/,chicken
115,Sweet &amp; spicy beer can chicken,https://www.jamieoliver.com/recipes/chicken-recipes/sweet-spicy-beer-can-chicken/,chicken
116,Chicken in a crust,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-in-a-crust/,chicken
117,Roasted veg vindaloo with golden gnarly chicken skewers,https://www.jamieoliver.com/recipes/chicken-recipes/roasted-veg-vindaloo-with-golden-gnarly-chicken-skewers/,chicken
118,Jewish penicillin,https://www.jamieoliver.com/recipes/chicken-recipes/jewish-penicillin/,chicken
119,Epic roast chicken salad,https://www.jamieoliver.com/recipes/chicken-recipes/epic-roast-chicken-salad/,chicken
120,Beer butt chicken,https://www.jamieoliver.com/recipes/chicken-recipes/beer-butt-chicken/,chicken
121,Humble chicken stew & dumplings,https://www.jamieoliver.com/recipes/chicken-recipes/humble-chicken-stew-dumplings/,chicken
122,Barbecued chicken dim sum,https://www.jamieoliver.com/recipes/chicken-recipes/barbecued-chicken-dim-sum/,chicken
123,Quick crispy chicken with tomatoes &amp; asparagus,https://www.jamieoliver.com/recipes/chicken-recipes/quick-crispy-chicken-with-tomatoes-asparagus/,chicken
124,Gangnam-style chicken wings,https://www.jamieoliver.com/recipes/chicken-recipes/gangnam-style-chicken-wings/,chicken
125,Easy Essex haggis,https://www.jamieoliver.com/recipes/lamb-recipes/easy-essex-haggis-neeps-tatties-shepherd-s-pie-stylie/,chicken
126,Thai chicken laksa,https://www.jamieoliver.com/recipes/chicken-recipes/thai-chicken-laksa/,chicken
127,Sizzling chicken fajitas,https://www.jamieoliver.com/recipes/chicken-recipes/sizzling-chicken-fajitas-grilled-peppers-salsa-rice-beans/,chicken
128,Golden chicken,https://www.jamieoliver.com/recipes/chicken-recipes/golden-chicken-braised-greens-potato-gratin/,chicken
129,Get-ahead gravy,https://www.jamieoliver.com/recipes/chicken-recipes/get-ahead-gravy/,chicken
130,Chicken & squash salad,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-and-squash-salad/,chicken
131,Roast chicken with mixed mushroom stuffing,https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-with-mixed-mushroom-stuffing/,chicken
132,Chicken garden soup,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-garden-soup/,chicken
133,Roast chicken with couscous,https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-with-couscous/,chicken
134,The best chicken salad ever,https://www.jamieoliver.com/recipes/chicken-recipes/the-best-chicken-salad-ever/,chicken
135,Roast chicken with all the trimmings,https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-with-all-the-trimmings/,chicken
